timestamp,x,y,left_button_holding,right_button_holding
1478943308.840992,1118,-340,False,True
1478943308.856733,1119,-341,False,True
1478943308.856733,1121,-343,False,True
1478943308.87235,1122,-344,False,True
1478943308.87235,1124,-345,False,True
1478943308.887985,1125,-346,False,True
1478943308.903638,1129,-348,False,True
1478943308.919263,1130,-348,False,True
1478943308.935377,1133,-349,False,True
1478943308.940906,1134,-349,False,True
1478943308.940906,1137,-349,False,True
1478943308.956627,1139,-350,False,True
1478943308.956627,1142,-350,False,True
1478943308.972252,1144,-350,False,True
1478943308.972252,1147,-350,False,True
1478943308.987876,1149,-350,False,True
1478943308.987876,1152,-350,False,True
1478943309.003501,1153,-350,False,True
1478943309.003501,1154,-350,False,True
1478943309.019127,1155,-350,False,True
1478943309.039843,1157,-350,False,True
1478943309.041321,1159,-349,False,True
1478943309.203402,1158,-348,False,True
1478943309.240885,1157,-348,False,False
1478943309.256596,1156,-348,False,False
1478943309.256596,1154,-348,False,False
1478943309.272223,1153,-348,False,False
1478943309.287882,1152,-348,False,False
1478943309.287882,1151,-348,False,False
1478943309.303531,1150,-347,False,False
1478943309.303531,1148,-344,False,False
1478943309.319156,1148,-343,False,False
1478943309.319156,1148,-341,False,False
1478943309.33584,1148,-338,False,False
1478943309.340909,1149,-337,False,False
1478943309.340909,1149,-334,False,False
1478943309.356679,1150,-331,False,False
1478943309.372305,1151,-328,False,False
1478943309.372305,1151,-326,False,False
1478943309.387902,1153,-322,False,False
1478943309.403556,1154,-319,False,False
1478943309.403556,1154,-318,False,False
1478943309.423814,1154,-317,False,False
1478943309.431896,1155,-315,False,False
1478943309.4398,1156,-313,False,False
1478943309.447722,1158,-311,False,False
1478943309.455017,1159,-310,False,False
1478943309.463227,1160,-309,False,False
1478943309.47124,1163,-307,False,False
1478943309.479301,1164,-306,False,False
1478943309.481474,1167,-305,False,False
1478943309.481474,1168,-305,False,False
1478943309.497126,1170,-303,False,False
1478943309.497126,1173,-302,False,False
1478943309.512741,1174,-302,False,False
1478943309.512741,1175,-301,False,False
1478943309.535886,1177,-301,False,False
1478943309.541448,1179,-301,False,False
1478943309.541448,1180,-301,False,False
1478943309.557217,1182,-301,False,False
1478943309.557217,1183,-301,False,False
1478943309.572842,1184,-301,False,False
1478943309.572842,1185,-301,False,False
1478943309.588467,1187,-301,False,False
1478943309.588467,1189,-301,False,False
1478943309.604064,1190,-301,False,False
1478943309.604064,1192,-301,False,False
1478943309.619689,1193,-301,False,False
1478943309.619689,1194,-301,False,False
1478943309.639872,1197,-301,False,False
1478943309.641856,1198,-301,False,False
1478943309.641856,1199,-301,False,False
1478943309.657509,1200,-300,False,False
1478943309.688739,1202,-300,False,False
1478943309.688739,1203,-299,False,False
1478943309.704363,1204,-298,False,False
1478943309.704363,1204,-298,False,False
1478943309.704363,1204,-298,False,False
1478943309.704363,1204,-298,False,False
1478943309.704363,1205,-297,False,False
1478943309.719991,1205,-297,False,False
1478943309.719991,1205,-297,False,False
1478943309.719991,1205,-297,False,False
1478943309.735663,1206,-296,False,False
1478943309.7412,1208,-294,False,False
1478943309.7412,1209,-292,False,False
1478943309.7573,1210,-291,False,False
1478943309.804175,1211,-290,False,False
1478943309.841492,1211,-289,False,False
1478943309.941454,1211,-288,False,False
1478943309.972846,1210,-287,False,False
1478943309.988454,1209,-287,False,False
1478943310.019723,1208,-287,False,False
1478943310.04137,1207,-287,False,False
1478943310.057139,1206,-287,False,False
1478943310.072737,1204,-287,False,False
1478943310.072737,1202,-288,False,True
1478943310.088333,1201,-289,False,True
1478943310.119639,1199,-290,False,True
1478943310.119639,1198,-291,False,True
1478943310.135827,1197,-292,False,True
1478943310.141339,1196,-293,False,True
1478943310.141339,1193,-295,False,True
1478943310.157108,1193,-296,False,True
1478943310.157108,1191,-300,False,True
1478943310.172676,1191,-303,False,True
1478943310.172676,1189,-308,False,True
1478943310.18833,1188,-311,False,True
1478943310.18833,1187,-314,False,True
1478943310.203954,1187,-315,False,True
1478943310.203954,1187,-317,False,True
1478943310.219581,1187,-318,False,True
1478943310.219581,1187,-319,False,True
1478943310.239801,1187,-320,False,True
1478943310.241774,1186,-323,False,True
1478943310.241774,1186,-324,False,True
1478943310.257455,1186,-325,False,True
1478943310.257455,1185,-328,False,True
1478943310.273053,1185,-330,False,True
1478943310.273053,1183,-332,False,True
1478943310.288654,1183,-333,False,True
1478943310.288654,1183,-334,False,True
1478943310.304275,1183,-335,False,True
1478943310.33558,1183,-337,False,True
1478943310.34113,1182,-339,False,True
1478943310.356902,1182,-340,False,True
1478943310.356902,1182,-343,False,True
1478943310.3725,1181,-344,False,True
1478943310.3725,1181,-345,False,True
1478943310.388152,1181,-347,False,True
1478943310.388152,1181,-348,False,True
1478943310.403778,1180,-349,False,True
1478943310.572448,1180,-348,False,True
1478943310.572448,1180,-346,False,False
1478943310.588017,1180,-342,False,False
1478943310.588017,1180,-338,False,False
1478943310.603696,1180,-334,False,False
1478943310.603696,1181,-329,False,False
1478943310.61932,1183,-324,False,False
1478943310.61932,1184,-319,False,False
1478943310.639493,1185,-316,False,False
1478943310.640951,1186,-312,False,False
1478943310.640951,1188,-309,False,False
1478943310.656687,1189,-307,False,False
